id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
c1269ea3-1505-4fe2-40dc-02b8cb87569c,Clarksville Community School Corp: Clarksville Senior High School,800 Dr Dot Lewis Dr,,47129,Clarksville,IN,Clark,US,38.298627,-85.768002,education: k-12,,http://www.ccsc.k12.in.us/hs,(812) 282-8231,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],0833,South East,Seamless Admissions
56289c79-af65-48df-4cf1-b256e410e961,Greater Clark County Schools: Charlestown Senior High School,1 Pirate Pl,,47111,Charlestown,IN,Clark,US,38.455743,-85.666827,education: k-12,,http://www.gcs.k12.in.us/chs/,(812) 256-3328,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],0821,South East,Seamless Admissions
2fc4ba27-ac3f-471e-73c1-79eacef245ae,Greater Clark County Schools: Jeffersonville High School,2315 Allison Ln,,47130,Jeffersonville,IN,Clark,US,38.317678,-85.710838,education: k-12,,http://www.gcs.k12.in.us/jhs/,(812) 282-6601,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],0849,South East,Seamless Admissions
c66ef3ca-e7f0-453c-56f8-2df9e34c1495,Greater Clark County Schools: New Washington Middle/High School,226 N Hwy 62,,47162,New Washington,IN,Clark,US,38.557,-85.50935,education: k-12,,http://www.gcs.k12.in.us/nwhs/,(812) 293-3368,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],0809,South East,Seamless Admissions
ab24e9f9-8095-406f-4b9b-91200efd544c,New Albany-Floyd Co Con Sch: Floyd Central High School,6575 Old Vincennes Rd,,47119,Floyd Knobs,IN,Floyd,US,38.333483,-85.93291,education: k-12,,http://fchs.nafcs.k12.in.us/,(812) 923-8811,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],1930,South East,Seamless Admissions
20508f52-36d5-4f5f-757a-5e8a84b6a762,New Albany-Floyd Co Con Sch: New Albany Senior High School,1020 Vincennes St,,47150,New Albany,IN,Floyd,US,38.29822,-85.81156,education: k-12,,http://nahs.nafcs.k12.in.us/,(812) 542-8506,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],1925,South East,Seamless Admissions
987936c2-b389-440b-6301-5c2a19bc04fc,Seymour Community Schools: Seymour Senior High School,1350 W 2nd St,,47274,Seymour,IN,Jackson,US,38.954595,-85.906455,education: k-12,,http://www.scsc.k12.in.us/SHS_04-05/index.htm,(812) 522-4384,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],3133,South East,Seamless Admissions
d00a7c18-2efc-4221-5b89-25449cdccc3c,South Central Com School Corp: South Central Jr-Sr High School,9808 S 600 W,,46382,Union Mills,IN,LaPorte,US,41.464443,-86.816227,education: k-12,,http://www.scentral.k12.in.us/jr-sr-high-home,(219) 767-2266,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],4737,South East,Seamless Admissions
e1994165-bd5f-451e-7984-38f9f4c41d9d,South Harrison Com Schools: Corydon Central High School,375 Country Club Rd,,47112,Corydon,IN,Harrison,US,38.200298,-86.119425,education: k-12,,http://cchs.shcsc.k12.in.us/,(812) 738-4181,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],2640,South East,Seamless Admissions
4602d640-3958-4c2c-43b2-8997622f3dd7,West Clark Community Schools: Henryville Jr & Sr High School,213 N Ferguson St,,47126,Henryville,IN,Clark,US,38.545782,-85.77115,education: k-12,,http://www.wclark.k12.in.us/content.asp?q_areaprimaryid=6&q_areasecondaryid=2,(812) 294-1455,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],0765,South East,Seamless Admissions
2553f160-724e-4557-74ce-bfa470f6f137,West Clark Community Schools: Silver Creek High School,557 Renz Ave,,47172,Sellersburg,IN,Clark,US,38.407761,-85.755231,education: k-12,,http://www.wclark.k12.in.us/content.asp?q_areaprimaryid=6&q_areasecondaryid=7,(812) 246-3391,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],0777,South East,Seamless Admissions
6773eb8f-6720-492e-69e1-371243c42215,West Clark Community Schools: William W Borden High School,301 West St,,47106,Borden,IN,Clark,US,38.469492,-85.947127,education: k-12,,http://bhs.wclark.k12.in.us/,(812) 967-2087,,False,approved,1,['IUSE Seamless Admissions'],,[' '],[''],0,,1,['Recruitment and Admissions'],0813,South East,Seamless Admissions
