id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
32ad7e43-2c18-424b-47ba-a8f7bf11c0ce,Archdiocese of Indianapolis: Cardinal Ritter High School,3360 W 30th St,,46222,Indianapolis,IN,Marion,US,39.812551,-86.21559,education: k-12,,https://www.cardinalritter.org/,(317) 924-4333,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],C715,Bloomington,Indiana College Core
bdbc1da6-8378-4377-49ca-7b0049e02efe,Bartholomew Con School Corp: Columbus East High School,230 S Marr Rd,,47201,Columbus,IN,Bartholomew,US,39.192923,-85.886383,education: k-12,,http://www.bcsc.k12.in.us/easths/site/default.asp,(812) 376-4369,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],0399,Bloomington,Indiana College Core
a5675f1b-40e1-4e1f-507a-b76b2c69034c,Bartholomew Con School Corp: Columbus North High School,1400 25th St,,47201,Columbus,IN,Bartholomew,US,39.224394,-85.912553,education: k-12,,http://www.bcsc.k12.in.us/northhs/site/default.asp,(812) 376-4432,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],0397,Bloomington,Indiana College Core
bc613f3c-a50c-4754-79a3-cb4902b10fe2,Beech Grove City Schools: Beech Grove Sr High School,5330 Hornet Ave,,46107,Beech Grove,IN,Marion,US,39.71135,-86.07782,education: k-12,,http://www.bgcs.k12.in.us/bghs/bghs.htm,(317) 786-1447,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],5449,Bloomington,Indiana College Core
1c84527a-583a-456b-60fa-860c84200fff,Brown County School Corporation: Brown County High School,235 School House Lane PO Box 6,,47448,Nashville,IN,Brown,US,39.30671,-86.1675,education: k-12,,http://www.brownco.k12.in.us/,(812) 988-6606,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],0573,Bloomington,Indiana College Core
19d0e31b-117c-4778-51a6-73f557044bef,Calvary Christian School,3639 S Keystone Ave,,46227,Indianapolis,IN,Marion,US,39.713739,-86.118558,education: k-12,,http://www.go2ccs.org/,(317) 789-8710,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],C580,Bloomington,Indiana College Core
1a173950-0851-4d00-636e-9f38913b24db,Carmel Clay Schools: Carmel High School,520 E Main St,,46032,Carmel,IN,Hamilton,US,39.979367,-86.120751,education: k-12,,https://www.ccs.k12.in.us/chs,(317) 846-7721,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],2505,Bloomington,Indiana College Core
57c05352-2509-40b8-6254-06c973ce27eb,Charles A. Tindley Accelerated School,3960 Meadows Dr,,46205,Indianapolis,IN,Marion,US,39.83012,-86.11504,education: k-12,,https://www.tindley.org/,(317) 545-1745,arthur@tindley.org,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],6208,Bloomington,Indiana College Core
1b6a9bf5-0576-44a6-6ea5-ca3c68178ab7,Danville Community School Corp: Danville Community High School,100 Warrior Way,,46122,Danville,IN,Hendricks,US,39.756974,-86.54001,education: k-12,,http://www.danville.k12.in.us/OurSchool/HighSchool/default.htm,(317) 745-6431,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],2741,Bloomington,Indiana College Core
b634d0b6-3967-43e4-60b8-47325d08142f,Fort Wayne Community Schools: North Side High School,475 E State St,,46805,Fort Wayne,IN,Allen,US,41.0979,-85.13552,education: k-12,,http://www.northside.fwcs.k12.in.us,(260) 467-2800,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Provide funds for the activity"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],0101,Bloomington,Indiana College Core
1e6d1947-26e1-42ea-4c7d-b18ec3369059,Franklin Community School Corp: Franklin Community High School,2600 Cumberland Dr,,46131,Franklin,IN,Johnson,US,39.512107,-86.086789,education: k-12,,http://franklinschools.org/Domain/8,(317) 738-5700,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],3445,Bloomington,Indiana College Core
78067c17-2ea5-4567-7a5a-83c5eda2b8a4,Greencastle Community School Corp: Greencastle Senior High School,910 E Washington St,,46135,Greencastle,IN,Putnam,US,39.643361,-86.843422,education: k-12,,http://ghs.greencastle.k12.in.us,(765) 653-9711,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],7089,Bloomington,Indiana College Core
04f2cd39-7a71-4027-699a-d5ac86cb77c7,Greenwood Community Sch Corp: Greenwood Community High Sch,615 W Smith Valley Rd,,46142,Greenwood,IN,Johnson,US,39.603157,-86.117675,education: k-12,,http://www.gws.k12.in.us/ghs,(317) 889-4000,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],3473,Bloomington,Indiana College Core
4d7ff61a-36af-4cf2-5440-50ff36b71363,Hamilton Southeastern Schools: Fishers High School,13000 Promise Rd,,46038,Fishers,IN,Hamilton,US,39.978294,-85.96828,education: k-12,,https://fhs.hseschools.org/,(317) 915-4290,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],2487,Bloomington,Indiana College Core
17b1359c-cd26-4345-774f-62f6289a62cd,Hamilton Southeastern Schools: Hamilton Southeastern HS,13910 E 126th St,,46037,Fishers,IN,Hamilton,US,39.970964,-85.916129,education: k-12,,https://hhs.hseschools.org/,(317) 594-4190,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],2499,Bloomington,Indiana College Core
